ProDataCSV

Title: Mon Nov 11 13:07:59 2024

Remarks:
#User: Chirascan User
#Date: 2024/11/11
#Instrument: 0539
#DetectorType: LAAPD
#DichOS Calibration Correction Curve: 0539/1
#HV (CDDC channel): 0 v
#Time per point: 0.5 s
#MultiCellAutoChanger: Enabled
#Sample1: pNG_157
#Cell1 type: 
#Cell1 Pathlength: 1 mm
#Sample2: pNG_158
#Cell2 type: 
#Cell2 Pathlength: 1 mm
#Temperature: 27.99 C
#Multi cell repeat setting: Repeats made per position

Last Modified: Mon Nov 11 14:49:07 2024 by unknown.

Options:

Available Dimensions:,4
Warning! This DataStore contains four or more Dimensions.
Output will be truncated to the four most significant Dimensions.
(Unsaved dimensions are marked below with an asterix.)
Temperature,77 temperatures, from 20 to 20degrees Celsius in stepped ramp mode.
Repeat,3 repeats in set., -iter option selected
Cell,2 cells in set.
Wavelength,Wavelength: 220nm,,Bandwidth: 1nm

Available Properties: ,7
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.5s (25us x 20000),
SE,SE
Temperature,

Data:


CircularDichroism
Wavelength:,220
Cell:,1
Temperature,Repeat
,0,1,2,
20,-23.7391,-23.8097,-23.9346
22,-23.899,-23.8642,-23.7612
24,-23.5383,-23.6408,-23.7566
26,-23.5704,-23.6439,-23.6729
28,-23.3022,-23.3871,-23.0749
30,-22.9909,-23.0595,-22.8837
32,-22.7962,-22.4129,-22.7547
34,-22.3254,-22.001,-21.9281
36,-22.1674,-22.128,-22.172
38,-21.8236,-22.1635,-22.1282
40,-21.9021,-22.0398,-21.9002
42,-21.8128,-22.0587,-22.0054
44,-22.0025,-21.8441,-22.0733
46,-21.6336,-21.6325,-21.5336
48,-21.396,-21.4133,-21.2703
50,-21.1103,-21.2194,-21.1722
52,-20.7912,-21.0559,-20.8183
54,-20.5785,-20.7824,-20.508
56,-20.2765,-20.4634,-20.3571
58,-20.3325,-19.9967,-20.345
60,-20.1131,-20.0452,-20.1074
62,-19.8441,-19.9377,-19.8505
64,-19.2145,-19.5299,-19.5723
