ProDataCSV

Title: Mon Nov 11 14:43:33 2024

Remarks:
#User: Chirascan User
#Date: 2024/11/11
#Instrument: 0539
#DetectorType: LAAPD
#DichOS Calibration Correction Curve: 0539/1
#HV (CDDC channel): 595.49 v
#Time per point: 0.5 s
#MultiCellAutoChanger: Enabled
#Sample1: pNG_157
#Cell1 type: 
#Cell1 Pathlength: 1 mm
#Sample2: pNG_158
#Cell2 type: 
#Cell2 Pathlength: 1 mm
#Temperature: 33.48 C
#Multi cell repeat setting: Repeats made per position

Last Modified: Mon Nov 11 14:49:07 2024 by unknown.

Options:

Available Dimensions:,3
Wavelength,Wavelength: 200nm - 260nm,Step Size: 1nm,Bandwidth: 1nm
Repeat,3 repeats in set., -iter option selected
Cell,2 cells in set.

Available Properties: ,7
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.5s (25us x 20000),
SE,SE
Temperature,

Data:


CircularDichroism
Cell:,1
Wavelength,Repeat
,0,1,2,
260,-0.179473,-0.180378,-0.0490479
259,-0.369766,-0.376125,-0.29512
258,-0.37403,-0.42597,-0.412591
257,-0.460468,-0.402796,-0.390759
256,-0.488496,-0.4187,-0.544861
255,-0.522994,-0.264285,-0.457015
254,-0.57746,-0.586828,-0.674509
253,-0.285615,-0.329892,-0.434517
252,-0.427636,-0.467143,-0.568782
251,-0.59426,-0.59028,-0.429267
250,-0.271192,-0.411737,-0.363796
249,-0.274682,-0.524421,-0.35151
248,-0.648055,-0.595861,-0.481088
247,-0.670597,-0.713889,-0.823293
246,-0.860585,-0.728144,-0.895379
245,-0.774291,-0.874393,-0.828865
244,-1.23029,-1.20623,-1.16602
243,-1.53408,-1.26814,-1.39023
242,-1.65103,-1.62769,-1.59015
241,-1.67508,-1.79586,-1.67754
240,-2.34699,-2.36695,-2.26852
239,-2.66001,-2.87728,-2.82577
238,-3.4109,-3.51927,-3.48789
237,-3.7976,-3.81814,-4.01515
236,-4.8086,-4.8202,-4.852
235,-5.79346,-5.84878,-5.81153
234,-6.40137,-6.59178,-6.40237
233,-7.62803,-7.5366,-7.58901
232,-8.65494,-8.53488,-8.56301
231,-9.79572,-9.95217,-10.0133
230,-10.8418,-10.9531,-10.8203
229,-12.1463,-12.146,-12.198
228,-12.9947,-13.0526,-12.9388
227,-13.3598,-13.5182,-13.6243
226,-14.8304,-14.6806,-14.5332
225,-15.1435,-15.1537,-15.4918
224,-15.8252,-15.7823,-15.6669
223,-16.1886,-16.0132,-16.2257
222,-16.6753,-16.4522,-16.4358
221,-16.3396,-16.4682,-15.9199
220,-16.712,-16.3173,-16.6401
219,-16.4317,-16.3111,-16.1558
218,-16.1621,-16.6313,-16.3679
217,-16.5259,-16.4307,-16.1859
216,-16.2097,-16.0477,-16.3682
215,-16.2915,-16.3442,-15.9587
214,-16.2811,-16.2225,-16.3042
213,-16.0585,-16.3302,-16.4288
212,-16.2166,-16.8454,-17.0886
211,-16.7672,-17.1188,-16.8048
210,-17.2354,-17.2503,-17.6258
209,-17.6834,-17.6187,-17.868
208,-17.4633,-17.5593,-17.561
207,-17.2931,-17.0979,-17.3071
206,-15.7131,-15.7196,-15.3287
205,-13.5867,-13.1655,-13.5492
204,-11.4542,-10.8981,-10.5773
203,-7.9927,-8.13788,-8.22904
202,-4.66302,-4.97352,-5.00114
201,-1.00048,-1.29901,-0.743257
200,3.88485,3.41393,3.48324
Cell:,2
Wavelength,Repeat
,0,1,2,
260,-0.277917,-0.294285,-0.495461
259,-0.744832,-0.524159,-0.568493
258,-0.665719,-0.527709,-0.579161
257,-0.732949,-0.650843,-0.647078
256,-0.53275,-0.678665,-0.675493
255,-0.802624,-0.592957,-0.584454
254,-0.925231,-0.834684,-0.741155
253,-0.733458,-0.710919,-0.695402
252,-1.01853,-0.809639,-0.88161
251,-0.918994,-0.882472,-0.812109
250,-0.823638,-0.685144,-0.689415
249,-0.813816,-0.919296,-0.769641
248,-0.912191,-1.02026,-0.80952
247,-1.03862,-1.05321,-1.08706
246,-1.14416,-1.27711,-1.35055
245,-1.36914,-1.3956,-1.33259
244,-1.51959,-1.39663,-1.48989
243,-1.90635,-1.84948,-1.93872
242,-1.97193,-2.07225,-2.11547
241,-2.184,-2.22598,-2.2274
240,-2.69678,-2.62493,-2.63964
239,-3.25317,-3.2302,-3.28416
238,-3.93119,-3.71888,-3.79086
237,-4.16179,-4.28595,-4.07424
236,-5.34373,-5.10449,-5.28723
235,-5.93549,-5.84155,-6.01798
234,-6.75184,-6.64587,-6.62952
233,-7.36357,-7.41357,-7.58076
232,-8.63101,-8.55849,-8.61996
231,-9.73402,-9.68534,-9.70504
230,-10.5529,-10.4174,-10.4009
229,-11.6892,-11.6073,-11.6571
228,-12.5227,-12.2149,-12.4004
227,-13.4338,-12.9132,-13.3314
226,-14.1051,-14.1601,-14.1551
225,-14.9443,-14.8448,-14.9843
224,-15.643,-15.4924,-15.7801
223,-16.1646,-16.269,-16.1542
222,-16.9074,-16.5734,-16.6785
221,-16.6965,-16.8668,-16.6768
220,-17.4477,-17.4348,-16.9725
219,-17.4289,-17.4658,-17.4174
218,-17.6391,-17.8449,-17.666
217,-17.7296,-17.7327,-18.0082
216,-17.9181,-17.6798,-17.5389
215,-17.5755,-17.464,-17.433
214,-17.2359,-17.8289,-17.4393
213,-17.0647,-16.8973,-17.0495
212,-16.9103,-17.0724,-16.8809
211,-17.2559,-16.7155,-17.053
210,-16.6945,-16.8881,-16.7769
209,-16.3865,-16.3208,-16.1992
208,-15.9193,-15.5332,-16.1663
207,-14.7338,-14.3659,-14.7391
206,-12.8664,-12.8753,-12.6154
205,-10.9627,-11.1182,-11.1207
204,-8.41216,-9.13273,-8.66459
203,-5.47887,-6.20737,-6.68911
202,-2.79164,-3.0172,-2.89179
201,0.812818,1.15795,1.09512
200,4.33177,4.49321,4.11631

HV
Cell:,1
Wavelength,Repeat
,0,1,2,
260,527.847,526.886,527.954
259,528.183,526.886,527.954
258,527.527,526.886,527.954
257,527.527,526.886,527.954
256,526.917,526.321,528.641
255,526.917,527.512,528.641
254,528.534,528.03,527.954
253,528.534,528.534,527.954
252,528.534,531.982,527.954
251,529.099,528.87,528.549
250,529.099,528.87,529.877
249,530.396,528.87,529.877
248,527.939,528.87,528.412
247,529.236,528.87,528.412
246,529.236,528.87,529.19
245,530.487,528.87,529.861
244,530.487,528.87,530.35
243,530.487,528.87,530.35
242,531.204,532.791,531.616
241,532.44,532.791,531.616
240,531.906,532.791,534.149
239,533.691,534.042,534.653
238,533.691,534.042,534.653
237,537.994,537.186,537.781
236,537.994,539.246,537.781
235,541.641,543.045,541.656
234,545.67,544.174,544.601
233,548.813,549.591,546.555
232,553.131,549.591,551.041
231,558.075,555.74,554.688
230,561.844,558.777,559.906
229,564.24,562.851,563.293
228,566.727,565.125,564.972
227,567.444,568.237,567.719
226,569.534,568.237,569.717
225,571.442,571.564,572.052
224,574.768,572.83,573.502
223,576.904,576.492,576.691
222,579.269,578.827,579.163
221,581.39,580.826,580.521
220,584.579,583.359,583.588
219,584.579,585.541,586.578
218,588.791,588.837,587.997
217,590.958,590.454,591.904
216,592.422,593.979,591.904
215,596.481,596.344,596.97
214,600.433,600.372,600.906
213,604.553,604.08,605.148
212,608.826,607.697,610.489
211,613.388,613.113,615.112
210,618.652,619.37,620.071
209,626.282,626.297,626.144
208,630.31,630.829,630.814
207,636.337,636.688,636.581
206,644.577,644.501,643.585
205,654.724,653.488,653.397
204,666.458,667.542,663.528
203,686.493,687.668,683.685
202,700.882,701.08,698.883
201,721.146,717.789,720.428
200,751.038,752.625,753.128
Cell:,2
Wavelength,Repeat
,0,1,2,
260,519.333,517.639,518.6
259,519.135,517.639,517.975
258,518.494,517.639,517.975
257,517.761,517.639,519.165
256,517.761,519.333,519.165
255,517.761,522.064,519.165
254,518.936,519.638,518.646
253,520.95,518.967,518.646
252,520.37,518.967,518.646
251,520.37,520.142,520.493
250,521.423,520.142,519.852
249,521.133,520.752,519.211
248,519.516,520.02,519.211
247,520.065,521.164,519.211
246,521.21,520.065,519.211
245,521.21,520.065,522.446
244,522.537,522.446,522.446
243,521.942,522.446,523.041
242,523.788,524.139,523.041
241,525.101,525.391,523.041
240,525.101,527.008,526.245
239,528.397,527.008,527.863
238,528.397,531.021,530.121
237,533.112,533.569,531.693
236,536.285,536.041,535.553
235,539.597,539.505,537.903
234,543.716,543.61,542.419
233,546.539,549.698,547.318
232,552.261,553.925,551.346
231,557.205,557.846,557.48
230,560.318,562.683,562.943
229,565.201,565.628,565.842
228,568.634,569.092,569.031
227,570.74,571.442,571.533
226,574.493,575.104,575.424
225,577.606,578.14,577.911
224,580.307,580.887,580.78
223,583.633,584.213,583.908
222,586.761,587.677,587.601
221,591.171,591.278,591.232
220,595.032,594.498,594.254
219,598.434,598.16,597.839
218,602.997,603.119,602.173
217,606.796,608.429,607.651
216,612.518,612.656,611.176
215,616.669,618.027,616.272
214,623.978,624.466,625.58
213,628.052,628.357,628.372
212,632.706,632.782,632.706
211,637.253,637.054,636.795
210,643.295,641.617,643.112
209,649.261,648.88,649.582
208,657.898,658.936,657.303
207,670.303,671.417,669.632
206,685.638,685.684,685.318
205,696.259,696.594,696.136
