ProDataCSV

Title: Mon Nov 11 13:01:29 2024

Remarks:
#User: Chirascan User
#Date: 2024/11/11
#Instrument: 0539
#DetectorType: LAAPD
#DichOS Calibration Correction Curve: 0539/1
#HV (CDDC channel): 0 v
#Time per point: 0.5 s
#MultiCellAutoChanger: Enabled
#Sample1: pNG_157
#Cell1 type: 
#Cell1 Pathlength: 1 mm
#Sample2: pNG_158
#Cell2 type: 
#Cell2 Pathlength: 1 mm
#Temperature: 28.19 C
#Multi cell repeat setting: Repeats made per position

Last Modified: Mon Nov 11 14:49:07 2024 by unknown.

Options:

Available Dimensions:,3
Wavelength,Wavelength: 200nm - 260nm,Step Size: 1nm,Bandwidth: 1nm
Repeat,3 repeats in set., -iter option selected
Cell,2 cells in set.

Available Properties: ,7
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.5s (25us x 20000),
SE,SE
Temperature,

Data:


CircularDichroism
Cell:,1
Wavelength,Repeat
,0,1,2,
260,-0.169663,-0.0975613,-0.131352
259,-0.268831,-0.352053,-0.408835
258,-0.294588,-0.311944,-0.312556
257,-0.263986,-0.41082,-0.198986
256,-0.546702,-0.338825,-0.3465
255,-0.252682,-0.333595,-0.34965
254,-0.649499,-0.460243,-0.554635
253,-0.345245,-0.29924,-0.22395
252,-0.573747,-0.675799,-0.432955
251,-0.468716,-0.466752,-0.601799
250,-0.323891,-0.579232,-0.556935
249,-0.464823,-0.519125,-0.734384
248,-0.51524,-0.854729,-0.634209
247,-0.71551,-0.831033,-0.798187
246,-1.11934,-1.08041,-1.32112
245,-1.21356,-1.25587,-1.17022
244,-1.72182,-1.58017,-1.59041
243,-2.20763,-2.01017,-2.14498
242,-2.28633,-2.2748,-2.46885
241,-2.62995,-2.90378,-2.76641
240,-3.51962,-3.66016,-3.45255
239,-4.48378,-4.45055,-4.24301
238,-5.27209,-5.31443,-5.27841
237,-6.62255,-6.38979,-6.23799
236,-7.84576,-7.84187,-7.64754
235,-9.26505,-9.36909,-9.10411
234,-10.8149,-10.6494,-10.5477
233,-12.5143,-12.1613,-12.0773
232,-14.4355,-14.3295,-14.0998
231,-16.3746,-16.2205,-15.8629
230,-18.1798,-17.7273,-17.1664
229,-19.887,-19.3471,-19.193
228,-21.2394,-21.1177,-20.927
227,-22.5213,-22.1522,-21.7772
226,-23.8689,-23.5751,-23.1192
225,-24.521,-24.4435,-24.0389
224,-25.0934,-24.8655,-24.4346
223,-25.497,-25.1292,-24.5778
222,-25.6396,-25.1583,-25.3239
221,-25.0375,-25.0787,-24.721
220,-25.066,-24.8788,-24.4091
219,-24.4495,-24.2135,-24.2807
218,-24.5589,-24.0912,-23.8913
217,-24.0296,-23.6506,-23.3868
216,-23.8305,-23.4194,-23.2134
215,-23.789,-23.5216,-23.1474
214,-23.5778,-23.524,-23.2399
213,-23.7985,-23.2339,-23.3226
212,-24.4806,-23.8769,-23.429
211,-25.1632,-24.6507,-24.4424
210,-25.7487,-25.8735,-25.4375
209,-26.7216,-26.0514,-25.7768
208,-26.6891,-26.2423,-26.3587
207,-25.9232,-24.9198,-25.171
206,-23.1253,-22.9819,-22.2443
205,-19.8818,-20.0366,-19.4192
204,-15.6962,-15.9513,-15.3218
203,-11.2152,-10.9346,-10.7411
202,-5.45364,-5.50982,-5.44473
201,0.53444,0.355455,0.380755
200,8.35669,9.02566,7.57085
Cell:,2
Wavelength,Repeat
,0,1,2,
260,-0.196538,-0.133815,-0.0363451
259,-0.267086,-0.177143,-0.252849
258,-0.215162,-0.264827,-0.374675
257,-0.260288,-0.0559012,-0.131838
256,-0.165085,-0.248436,-0.191243
255,-0.343739,-0.36163,-0.23622
254,-0.450836,-0.500868,-0.395602
253,-0.264098,-0.358414,-0.338869
252,-0.253611,-0.380391,-0.414545
251,-0.637887,-0.544713,-0.361525
250,-0.337414,-0.359486,-0.427188
249,-0.479752,-0.328759,-0.377393
248,-0.525376,-0.577204,-0.425715
247,-0.641942,-0.390497,-0.682785
246,-0.775453,-0.85473,-0.709659
245,-0.970277,-0.904043,-1.07441
244,-1.15153,-1.2038,-1.41803
243,-1.67888,-1.72378,-1.56033
242,-1.84562,-1.96451,-1.85204
241,-2.20116,-2.2404,-2.17871
240,-2.85372,-2.84116,-3.07167
239,-3.56597,-3.48791,-3.75106
238,-4.50573,-4.27968,-4.32852
237,-5.16263,-5.12932,-5.16978
236,-6.24677,-6.29201,-6.57408
235,-7.66281,-7.50154,-7.66833
234,-8.65014,-8.63035,-8.83761
233,-9.84055,-9.92673,-10.0278
232,-11.6364,-11.718,-11.6183
231,-13.183,-13.1384,-13.2396
230,-14.1761,-14.2154,-14.3598
229,-15.7481,-15.9417,-15.8962
228,-16.8487,-17.2922,-17.3171
227,-18.1063,-18.2958,-18.1289
226,-19.2806,-19.0287,-19.3472
225,-19.9218,-19.9646,-20.1585
224,-20.2997,-20.5312,-20.8444
223,-20.6842,-20.7777,-21.128
222,-20.5391,-20.9877,-21.3361
221,-20.5136,-20.5747,-20.8838
220,-20.6753,-20.6414,-20.9224
219,-20.2124,-20.4393,-20.3787
218,-20.4181,-20.4344,-20.4956
217,-20.1252,-19.9357,-20.5116
216,-19.4279,-19.9335,-20.1796
215,-19.5551,-19.6732,-20.0348
214,-19.7305,-20.0606,-20.1316
213,-19.4209,-19.8698,-19.9685
212,-20.1389,-20.2304,-20.3071
211,-20.5723,-21.0256,-21.3194
210,-21.4167,-21.678,-22.0584
209,-21.5884,-21.724,-22.4491
208,-22.3685,-22.1465,-22.6912
207,-21.3478,-21.7424,-21.615
206,-19.663,-19.5199,-19.8657
205,-16.6761,-16.6082,-17.0018
204,-12.7741,-13.4815,-13.4447
203,-9.19722,-9.26357,-9.43511
202,-3.83457,-4.17835,-4.91421
201,1.49245,1.6279,1.37861
200,8.1974,8.17461,8.63698

HV
Cell:,1
Wavelength,Repeat
,0,1,2,
260,518.021,518.982,518.509
259,518.021,518.982,518.509
258,518.021,518.982,518.509
257,518.021,518.982,518.509
256,518.021,518.402,518.509
255,518.616,518.097,518.509
254,519.974,518.097,518.509
253,519.974,518.585,519.943
252,519.974,520.416,519.943
251,519.333,520.416,519.943
250,519.562,519.699,519.943
249,519.562,519.104,519.943
248,519.043,519.104,519.943
247,519.043,519.104,519.943
246,521.408,519.104,519.943
245,521.408,521.988,519.943
244,522.98,521.988,521.637
243,522.98,521.988,521.637
242,522.98,523.972,521.637
241,524.2,523.972,524.857
240,524.857,525.406,525.436
239,526.184,526.688,525.436
238,526.184,529.175,528.03
237,529.846,531.204,529.526
236,529.846,532.776,529.526
235,535.187,536.88,535.11
234,539.047,539.886,538.864
233,541.992,542.45,542.068
232,541.992,546.28,547.287
231,552.277,551.208,551.025
230,555.603,551.208,556.213
229,560.76,560.013,560.089
228,563.538,564.423,563.675
227,566.483,567.337,567.032
226,569.565,569.412,569.412
225,571.579,572.174,572.067
224,573.105,573.822,574.265
223,576.035,576.614,577.759
222,580.643,579.788,579.498
221,583.603,583.008,583.023
220,587.067,585.037,586.136
219,590.591,588.272,589.218
218,593.185,591.217,591.949
217,597.046,595.169,595.917
216,600.235,599.808,598.831
215,604.965,603.317,602.417
214,609.772,608.261,607.956
213,615.723,615.982,613.098
212,619.675,622.009,619.522
211,626.312,626.968,625.641
210,629.944,630.356,629.715
209,634.018,634.811,634.659
208,640.884,640.991,640.03
207,649.536,649.139,648.834
206,659.5,658.752,657.944
205,675.323,673.447,671.753
204,691.452,689.117,688.553
203,704.773,702.332,699.57
202,724.396,721.329,720.383
201,749.649,750.595,749.42
200,775.909,774.521,772.461
Cell:,2
Wavelength,Repeat
,0,1,2,
260,510.666,511.108,511.047
259,510.086,511.108,510.483
258,510.086,510.498,511.826
257,511.337,510.498,511.826
256,510.529,509.949,512.161
255,510.529,510.452,511.444
254,510.529,510.452,512.146
253,510.529,510.452,510.651
252,509.918,510.452,510.01
251,509.918,510.452,510.01
250,509.918,510.651,510.01
249,509.918,510.651,510.01
248,511.307,510.651,511.292
247,511.337,510.651,510.712
246,511.887,510.651,510.712
245,511.23,510.651,512.085
244,512.314,513.016,512.695
243,511.81,513.016,512.695
242,511.81,513.016,512.695
241,514.847,513.016,514.572
240,515.594,515.61,514.572
239,515.594,516.159,515.762
238,518.311,518.265,515.762
237,518.311,519.455,519.455
236,522.079,522.675,521.774
235,524.307,522.675,524.46
234,526.779,527.908,527.786
233,529.144,527.908,530.655
232,533.798,533.829,534.576
231,539.169,538.086,537.964
230,541.245,541.901,539.642
229,545.212,546.387,547.028
228,550.583,551.727,551.819
227,556.03,556.015,555.847
226,559.113,556.015,560.669
225,562.897,563.263,563.492
224,564.468,564.499,565.155
223,566.895,567.673,567.886
222,569.626,567.673,570.679
221,571.594,571.777,572.174
220,574.31,574.127,574.875
219,576.492,576.004,577.591
218,576.492,579.239,580.536
217,581.482,581.1,581.741
216,582.703,584.198,584.625
215,587.265,586.182,587.845
214,590.21,590.622,591.354
213,593.567,594.208,595.917
212,597.733,597.809,599.792
211,602.448,603.18,605.255
210,608.078,609.207,610.58
209,616.226,614.944,616.425
208,624.802,623.947,625.076
207,630.539,629.593,629.761
206,637.329,636.322,637.802
205,644.775,645.554,647.354
