,aa count,MW [Da],pI,Charge (pH 7.5),E280_ox [1/M*cm],E280_red [1/M*cm],A280_ox @ 10g/l,A280_red @ 10g/l
GFP,238,26885.99,5.67,-8.61,22015,21890,8.19,8.14
mCherry,236,26721.88,5.62,-6.67,34380,34380,12.87,12.87
mRFP1,225,25423.41,5.65,-5.69,32890,32890,12.94,12.94
